vto_name	vto_id	ncbi_id	OT_name	Ot_ID
Euchilichthys boulengeri	VTO_0036726	NA	NA	NA
Glyptothorax obscurus	VTO_0061042	NA	NA	NA
Hisonotus taimensis	VTO_0036947	510920	Hisonotus taimensis	78424
Hypostomus variipictus	VTO_0060218	NA	NA	NA
Hypostomus soniae	VTO_0060219	NA	NA	NA
Copionodon lianae	VTO_0061735	NA	NA	NA
Atopochilus savorgnani	VTO_0036724	390410	Atopochilus savorgnani	531339
Phractocephalus nassi	VTO_9020503	NA	NA	NA
Clarias stappersii	VTO_0035527	121738	Clarias stappersii	545972
Dekeyseria brachyura	VTO_0060078	NA	NA	NA
Copionodon pecten	VTO_0061737	NA	NA	NA
Ancistrus albihoai	VTO_0059923	NA	NA	NA
Ancistrus damasceni	VTO_0059963	NA	NA	NA
Dekeyseria amazonica	VTO_0060079	NA	NA	NA
Pseudobagarius nitidus	VTO_0061327	NA	NA	NA
Pangasius pangasius	VTO_0036439	8001	Pangasius pangasius	216174
Chiloglanis marlieri	VTO_0061911	NA	NA	NA
Neoarius midgleyi	VTO_0035745	443678	Neoarius midgleyi	875864
Hisonotus armatus	VTO_0036946	510759	Hisonotus armatus	643602
Pseudolais micronemus	VTO_0036432	1110592	Pseudolais micronemus	875320
Pseudolais pleurotaenia	VTO_0036431	365583	Pseudolais pleurotaenia	334552
Pseudolais	VTO_0036430	365582	Pseudolais	334556
Pangasius nasutus	VTO_0036437	796021	Pangasius nasutus	199226
Rineloricaria formosa	VTO_0059825	NA	NA	NA
Pangasius krempfi	VTO_0036435	NA	NA	NA
Pangasius polyuranodon	VTO_0036434	NA	NA	NA
Astroblepus rengifoi	VTO_0060676	NA	NA	NA
Astroblepus sp. (de Pinna 1993)	VTO_0060677	NA	NA	NA
Astroblepus santanderensis	VTO_0060674	NA	NA	NA
Rineloricaria capitonia	VTO_0059824	NA	NA	NA
Astroblepus prenadillus	VTO_0060672	NA	NA	NA
Astroblepus sp. (Britto 2003)	VTO_0060673	NA	NA	NA
Chrysichthys longipinnis	VTO_0059226	NA	NA	NA
Astroblepus ubidiai	VTO_0060671	NA	NA	NA
Pseudobagarius alfredi	VTO_0061323	NA	NA	NA
Ancistrus malacops	VTO_0059960	NA	NA	NA
Astroblepus labialis	VTO_0060678	NA	NA	NA
Astroblepus longifilis	VTO_0060679	NA	NA	NA
Trachelyopterus sp. (de Pinna 1993)	VTO_0060508	NA	NA	NA
Trachelyopterus lacustris	VTO_0060509	NA	NA	NA
Chiloglanis trilobatus	VTO_0061912	NA	NA	NA
Rineloricaria cadeae	VTO_0059821	NA	NA	NA
Pimelodella megalura	VTO_0060858	NA	NA	NA
Pimelodella itapicuruensis	VTO_0060859	NA	NA	NA
Trachelyopterichthys	VTO_0060500	NA	NA	NA
Pimelodella martinezi	VTO_0060857	NA	NA	NA
Trachelyopterichthys anduzei	VTO_0060502	NA	NA	NA
Pimelodella megalops	VTO_0060855	NA	NA	NA
Pimelodella taeniophora	VTO_0060852	NA	NA	NA
Pimelodella kronei	VTO_0060853	NA	NA	NA
Pseudauchenipterus jequitinhonhae	VTO_0060506	NA	NA	NA
Pimelodella conquetaensis	VTO_0060851	NA	NA	NA
Astroblepus heterodon	VTO_0060698	NA	NA	NA
Hypancistrus debilittera	VTO_0059980	NA	NA	NA
Synodontis frontosa	VTO_0061818	577549	Synodontis frontosus	142568
Microglanis leptostriatus	VTO_0035064	490140	Microglanis leptostriatus	498421
Astroblepus rosei	VTO_0060690	NA	NA	NA
Astroblepus boulengeri	VTO_0060691	NA	NA	NA
Astroblepus vanceae	VTO_0060692	NA	NA	NA
Synodontis	VTO_0036728	42509	Synodontis	76041
Pterobunocephalus sp. (Friel 1994)	VTO_0059378	NA	NA	NA
Astroblepus phelpsi	VTO_0060695	NA	NA	NA
