VTO_name	VTO_id
Sinosinopa	VTO_9006905
Sarcodon	VTO_9006904
Ikechosaurus pijiagouensis	VTO_9006907
Parapternodus	VTO_9006906
Monjurosuchus manchoukuoensis	VTO_9006901
Cryptoryctes	VTO_9006900
Apternodus	VTO_9006903
Apternodontidae	VTO_9006902
Mimotona lii	VTO_9011270
Koniaryctes	VTO_9006909
Ikechosaurus gaoi	VTO_9006908
Pterobalaena bonaerensis	VTO_9010861
Leiocassis longibarbus	VTO_0059489
Leiocassis macropterus	VTO_0059488
Lusonectes sauvagei	VTO_9023348
Mystus amemiyai	VTO_0059485
Mystus impluviatus	VTO_0059484
Leiocassis hosii	VTO_0059487
Leiocassis sp. (Mo 1991)	VTO_0059486
Mystus abbreviatus	VTO_0059481
Mystus carcio	VTO_0059480
Mystus guilio	VTO_0059483
Mystus punctifer	VTO_0059482
Rorqualus omurai	VTO_9010867
Maylandia pursus	VTO_0073704
Copodus furcatus	VTO_9003994
Petromyzontida	VTO_9002090
Pronycticebinae	VTO_9013122
Anchitherium	VTO_9002101
Acritohippus	VTO_9002100
Diacodexeinae	VTO_9002103
Synaphodus	VTO_9002102
Tropidophorus bavaricus	VTO_9002105
Bavaricordylus	VTO_9002104
Isistius triangulus	VTO_9002107
Bavaricordylus molassicus	VTO_9002106
Procaroloameghinia	VTO_9002109
Hyperdichobunini	VTO_9002108
Hoplostethus occidentalis	VTO_0068566
Hoplostethus rifti	VTO_0068567
Aulotrachichthys atlanticus	VTO_0068564
Hoplostethus rubellopterus	VTO_0068565
Aulotrachichthys argyrophanus	VTO_0068562
Aulotrachichthys fernandezianus	VTO_0068563
Aulotrachichthys heptalepis	VTO_0068560
Aulotrachichthys latus	VTO_0068561
Hoplostethus abramovi	VTO_0068568
Hoplostethus marisrubri	VTO_0068569
Parahollardia lineata	VTO_0069995
Asiohomacodon	VTO_9009285
Trichiurides	VTO_9003271
Pediohierax ramenta	VTO_9003272
Pediohierax	VTO_9003273
Cylindracanthus rectus	VTO_9003274
Spalacolestinae	VTO_9003276
Bharatagama rebbanensis	VTO_9003277
Lophochelyinae	VTO_9003279
Phrynobatrachus kinangopensis	VTO_0003509
Phrynobatrachus danko	VTO_0003508
Phrynobatrachus intermedius	VTO_0003502
Chasmocranus rosae	VTO_0060917
Chasmocranus brachynemus	VTO_0060916
Chasmocranus lopezi	VTO_0060915
Chasmocranus surinamensis	VTO_0060914
Chasmocranus chimantanus	VTO_0060913
Chasmocranus sp. (de Pinna 1993)	VTO_0060912
Rhamdia humilis	VTO_0060911
Rhamdia poeyi	VTO_0060910
Chasmocranus quadrizonatus	VTO_0060919
Chasmocranus truncatorostris	VTO_0060918
Nematalosa persara	VTO_0066551
Adapis	VTO_9006174
Metaxytherium serresii	VTO_9006175
Nannodectes	VTO_9006176
Pandemonium	VTO_9006177
Metaxytherium krahuletzi	VTO_9006170
Metaxytherium lovisati	VTO_9006171
Metaxytherium medium	VTO_9006172
Metaxytherium subapenninum	VTO_9006173
Plesiadapidae	VTO_9006178
